index;nom_chaine;tvg_id_original;tvg_id_final;methode;groupe;logo
90;FR | PARAMOUNT DECALE FHD;ParamountChannelDecale.fr;ParamountChannelDecale.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/PARAMOUNT_DECALE.png
91;FR | PARAMOUNT DECALE HD;ParamountChannelDecale.fr;ParamountChannelDecale.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/PARAMOUNT_DECALE.png
92;FR | DOSSIERS FBI;;;unmapped;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/PLUTO.png
93;FR | INA 70S;;;unmapped;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/RAKUTEN.png
94;FR | NETFLIX THRILLER;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
95;FR | NETFLIX SCI-FI;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
96;FR | NETFLIX FANTASY;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
97;FR | NETFLIX ACTION;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
98;FR | NETFLIX ADVENTURE;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
99;FR | NETFLIX ROMANCE;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
100;FR | NETFLIX DRAMA;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
101;FR | NETFLIX COMEDY;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
102;FR | NETFLIX HORROR;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
103;FR | NETFLIX DOCUMENTARY;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
104;FR | NETFLIX SPORTS;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
105;FR | NETFLIX KIDS;;;unmapped;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
106;FR | HALLOWEEN SAGA EVENT HD;;;unmapped;ⓘTV ║ CINEMA;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qmM10m8KD5lxiKVS6LQgNXv8eGi.jpg
107;FR | HALLOWEEN COMIC EVENT HD;;;unmapped;ⓘTV ║ CINEMA;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qmM10m8KD5lxiKVS6LQgNXv8eGi.jpg
108;▼●★ --- |FR| FRANCE TNT |FR| --- ★●▼;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
109;FR | TF1 HD;tf1.fr;tf1.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TF1.png
110;FR | TF1 SD;tf1.fr;tf1.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TF1_SD.png
111;FR | FRANCE 2 HD;france2.fr;france2.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_2.png
112;FR | FRANCE 2 SD;france2.fr;france2.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_2_SD.png
